id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,39.21,3939377503,47,8737684086.0,33091258.0,40.7,38.3,0.449227,1.15904,61630266.0,1.58933,100539361.984279,223000000.0,223000000.0,54.88,-28.69407,2021-11-12T23:08:25.301Z,0.113248,34453.10766,2020-04-18T00:19:10.902Z,,2021-12-24T08:35:32.609Z,0.6115334358571403,1.1590397269548298,,,
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.745597,3921507746,48,7464076240.0,138978765.0,0.750565,0.681872,0.059007,8.59428,325838065.0,9.06196,5253842029.0,10000000000.0,10000000000.0,2.84,-73.82461,2021-02-12T07:28:45.775Z,0.103254,620.33307,2020-12-17T21:28:41.332Z,,2021-12-24T08:37:16.137Z,1.037586443505668,8.59427968275466,,,
gala,gala,Gala,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.505848,3806667975,49,25234800829.0,960690849.0,0.523384,0.456627,0.04456996,9.66228,328826686.0,9.45491,7542496572.319239,36420663672.5192,50000000000.0,0.824837,-38.99182,2021-11-26T01:03:48.731Z,0.00013475,373347.28797,2020-12-28T08:46:48.367Z,,2021-12-24T08:35:25.995Z,1.0636966238661858,9.662280611594502,,,
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,208.64,3760770751,50,,219586463.0,213.56,196.6,11.77,5.9783,209161699.0,5.88921,18051384.2448622,,,542.33,-61.58803,2018-01-09T00:00:00.000Z,0.216177,96264.66345,2015-01-14T00:00:00.000Z,,2021-12-24T08:35:20.614Z,0.6610435335515096,5.9783038979735466,,,
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.3,3598014747,51,,77340707.0,1.32,1.24,0.04178544,3.32996,121915481.0,3.50725,2779530283.277761,2779530283.0,,5.25,-75.39151,2017-12-19T00:00:00.000Z,0.081637,1482.17409,2020-03-13T02:22:41.168Z,,2021-12-24T08:36:19.368Z,1.1309225854177336,3.3299627285227262,17.869758549085017,btc,1786.9758549085016
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,254.07,3420972424,52,4071317179.0,761487384.0,256.56,219.95,34.13,15.51539,477585042.0,16.22569,13444189.28281184,16000000.0,16000000.0,661.69,-61.62928,2021-05-18T21:19:59.514Z,26.02,875.65144,2020-11-05T09:20:11.928Z,,2021-12-24T08:35:32.298Z,0.2470768045950072,15.515389028208853,,,
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,3.5,3413324280,53,,674731824.0,3.54,3.35,0.136457,4.06211,135054355.0,4.11968,978414057.2043,,,22.71,-84.64429,2018-04-29T07:50:33.540Z,0.5024,594.16365,2017-10-23T00:00:00.000Z,,2021-12-24T08:35:50.378Z,0.5786420189878161,4.062112521558939,2.531038811678172,usd,253.10388116781718
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.62,3408696537,54,,706619.0,3.73,3.56,0.05372,1.50435,57857317.0,1.72665,939124083.9,985239504.0,,3.95,-8.04059,2021-05-14T13:54:31.192Z,0.799859,353.56931,2019-12-24T15:14:35.376Z,,2021-12-24T08:37:15.903Z,-0.1195938563742835,1.5043460206314536,,,
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.34,3398630740,55,,23502636.0,1.35,1.29,0.04086193,3.14748,94913945.0,2.87294,2556002522.8,,,4.34,-69.43295,2021-03-30T03:44:28.828Z,0.06044,2094.38558,2020-04-29T08:19:34.574Z,,2021-12-24T08:35:46.266Z,0.6533519427099171,3.14748076250186,,,
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02253179,3367129818,56,,94414556.0,0.02265547,0.0216059,3.786e-05,0.16832,-91510119.35548687,-2.64584,149354237806.399,149354237806.399,,0.058843,-61.74267,2020-10-21T11:24:27.820Z,0.00620705,262.68282,2021-03-04T08:11:37.438Z,,2021-12-24T08:37:10.505Z,0.35811658798560403,0.16832102480902567,,,
arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,62.35,3132374288,57,4125780951.0,41607400.0,62.51,52.17,9.81,18.66238,505396258.0,19.23869,50108502.0,64598643.0,66000000.0,89.24,-30.235,2021-11-05T04:14:42.689Z,0.298788,20735.82681,2020-01-31T06:47:36.543Z,,2021-12-24T08:35:34.902Z,5.342319136308235,18.662380166967736,83.25205904662391,usd,8325.205904662393
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,12.41,3126691111,58,,126216079.0,12.52,11.62,0.775785,6.67012,200851265.0,6.86474,252055775.643687,,,43.96,-71.82083,2021-04-30T10:08:22.934Z,0.194441,6271.54174,2020-11-03T14:29:34.165Z,,2021-12-24T08:35:53.947Z,0.5183448986125322,6.6701165039719275,,,
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,9.47,2996202487,59,,124071428.0,9.51,8.86,0.606069,6.84065,196046661.0,7.00128,316835587.0,1393082413.50733,,42.4,-77.73929,2021-04-05T13:49:10.098Z,4.95,90.66483,2021-01-27T15:34:04.000Z,,2021-12-24T08:35:13.413Z,0.9338115151650906,6.840654635301954,,,
harmony,one,Harmony,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793,0.256542,2943966518,60,3374361030.0,141972080.0,0.260773,0.240009,0.01629357,6.78196,187121837.0,6.78754,11478011740.1007,13156044839.793139,13156044839.793139,0.37902,-32.64704,2021-10-26T09:28:49.782Z,0.00127355,19944.8357,2020-03-13T02:24:14.005Z,,2021-12-24T08:35:05.517Z,0.7714869677870838,6.7819603905445085,79.80069558263294,usd,7980.069558263294
